區別,0-4歲,5-9歲,10-14歲,15-19歲,20-24歲,25-29歲,30-34歲,35-39歲,40-44歲,45-49歲,50-54歲,55-59歲,60-64歲,65-69歲,70-74歲,75-79歲,80-84歲,85-89歲,90-94歲,95-99歲,100歲以上
高雄市,103814,112043,110607,137836,172820,186804,183448,224946,239630,216850,217311,216036,202660,179268,106720,73318,48841,26069,11147,2387,279
鹽埕區,611,566,678,877,1252,1500,1549,1636,1732,1602,1836,2232,2218,2072,1243,905,695,390,183,38,4
鼓山區,6074,7884,7005,6504,7673,7929,8505,11795,13208,11970,10809,10454,9758,8865,5178,3474,2277,1290,582,118,15
左營區,7283,9458,10139,12055,13500,12431,11259,14300,17212,18396,18635,14867,11955,10261,6383,4314,2748,1580,943,197,26
楠梓區,8802,9536,8885,9335,11843,13687,13794,17506,17261,14313,14183,13674,12048,10246,5659,3758,2291,1242,671,132,15
三民區,12067,14260,13644,16338,20445,22199,22434,27562,28868,26015,26442,26643,25870,23193,13583,9205,5798,2771,1041,242,16
新興區,1513,1867,2030,1984,2530,3034,3058,3751,3982,3570,3767,4097,4342,4177,2740,1857,1393,760,346,81,5
前金區,781,792,561,981,1340,1580,1704,2027,1951,1935,2049,2331,2364,2329,1531,1089,809,494,201,51,1
苓雅區,5548,6412,6445,6870,8960,10367,10812,13110,13864,12044,12402,12923,13920,13508,8714,5797,3805,1984,799,198,22
前鎮區,6366,7092,6740,8948,11271,11824,12007,15031,16629,14949,14688,14462,13925,13083,8024,5844,3615,1725,695,140,28
旗津區,989,737,728,1553,1968,1892,1802,2339,2480,2401,2177,2139,2035,1834,1132,841,580,266,95,16,3
小港區,6275,6571,6568,8271,10208,11347,11534,14528,14584,11972,11405,11693,11397,9701,5165,3085,1943,979,357,87,12
鳳山區,14504,15647,16280,18336,22408,24336,24717,31155,32842,28292,27034,26684,25450,22917,13069,8016,4688,2388,1140,233,19
林園區,2577,2580,2772,3854,4900,5094,4726,5837,6223,5363,5290,5401,4936,4106,2334,1707,1038,547,256,55,2
大寮區,4333,3785,3323,5598,7688,8942,7908,8994,9522,8711,9068,9572,8492,6838,3918,2496,1622,962,433,84,17
大樹區,1392,1267,1365,2181,2772,3093,2722,3003,3205,3247,3451,3684,3164,2643,1660,1276,1004,564,225,47,8
大社區,1187,1108,982,1747,2320,2787,2408,2705,2736,2624,2846,2993,2691,2194,1195,818,580,289,124,22,4
仁武區,4234,3519,3326,4841,6019,6629,6530,8190,8854,7751,6933,6425,5826,5156,2835,1634,914,460,182,38,4
鳥松區,1657,1341,961,1922,2912,3320,3195,3446,3609,3230,3654,4008,3927,3452,1923,1142,760,343,159,33,5
岡山區,3799,4239,4431,5218,6611,6914,6609,7593,7979,7256,7467,7402,6826,5787,3401,2399,1609,964,474,99,13
橋頭區,1364,1368,1279,1796,2379,2797,2730,3146,3335,2776,2776,3108,2965,2768,1596,1036,676,435,166,44,3
燕巢區,936,952,839,1502,1983,2118,2015,2236,2419,2199,2300,2570,2299,1864,1123,855,652,461,236,64,14
田寮區,167,85,114,225,350,374,306,367,428,539,655,757,613,520,372,358,377,260,95,29,3
阿蓮區,1012,1025,1107,1431,2064,2121,1977,2108,2199,2051,2325,2347,2007,1712,1037,769,691,325,105,34,1
路竹區,2077,2313,2310,2823,3334,3461,3488,4152,4397,3705,3740,3944,3730,3188,1908,1462,1135,598,228,39,5
湖內區,1084,1109,882,1499,1887,2003,2035,2516,2751,2541,2401,2238,2074,1780,1089,793,622,340,120,23,4
茄萣區,974,914,973,1511,1863,1971,2065,2438,2604,2521,2506,2320,2068,1874,1279,1010,676,343,104,11,1
永安區,597,421,352,653,973,984,941,1127,1222,1115,1135,1158,1015,799,465,330,246,133,44,12,0
彌陀區,663,646,695,1050,1264,1273,1141,1519,1697,1480,1460,1481,1369,1130,721,556,437,239,107,22,2
梓官區,1202,1064,1215,1883,2332,2529,2369,2856,3293,3043,2813,2774,2672,2347,1362,963,580,254,93,21,1
旗山區,1073,1107,1285,1737,2187,2440,2051,2267,2473,2459,3013,3222,2899,2483,1645,1540,1207,714,255,43,14
美濃區,956,911,1106,1747,2261,2377,2020,2205,2323,2605,3326,3556,3457,2887,2151,2042,1703,973,310,60,5
六龜區,314,312,375,589,722,742,603,762,859,948,1136,1199,1124,900,611,496,428,287,86,27,2
甲仙區,152,143,150,238,366,365,306,418,444,484,494,521,544,459,256,212,207,94,54,8,0
杉林區,298,263,284,525,659,661,563,677,788,904,1104,1115,1014,894,561,504,422,265,100,10,2
內門區,378,272,318,639,854,888,773,863,919,1103,1309,1400,1137,960,686,617,515,314,118,25,2
茂林區,122,76,78,124,148,194,162,131,125,163,184,152,100,61,40,31,25,11,5,0,0
桃源區,238,182,219,245,326,354,364,361,358,352,314,307,262,151,68,49,51,13,9,1,0
那瑪夏區,215,219,163,206,248,247,266,289,255,221,184,183,167,129,63,38,22,12,6,3,1
